k	x	xAdaptive(1)	yAdaptive(1)	
0	0	5	
1	0.0001	5	
2	0.0301522	5	
3	0.430152	5.00041	
4	0.830152	5.00166	
5	1.23015	5.00371	
6	1.63015	5.00625	
7	2.03015	5.00876	
8	2.43015	5.01071	
9	2.83015	5.01185	
10	3.23015	5.0124	
11	3.63015	5.01308	
12	4.03015	5.01493	
13	4.43015	5.0189	
14	4.83015	5.02537	
15	5.23015	5.03375	
16	5.63015	5.04238	
17	6.03015	5.04874	
18	6.43015	5.05006	
19	6.83015	5.04418	
20	7.23015	5.03036	
21	7.63015	5.00976	
22	8.03015	4.98551	
23	8.43015	4.96203	
24	8.83015	4.94389	
25	9.23015	4.93443	
26	9.63015	4.93448	
27	10.0302	4.94167	
28	10.4302	4.9506	
29	10.8302	4.95395	
30	11.2302	4.94433	
31	11.6302	4.91642	
32	12.0302	4.86884	
33	12.4302	4.80513	
34	12.8302	4.73344	
35	13.2302	4.66493	
36	13.6302	4.61104	
37	14.0302	4.58045	
38	14.4302	4.57641	
39	14.8302	4.5953	
40	15.2302	4.62697	
41	15.6302	4.65689	
42	16.0302	4.66977	
43	16.4302	4.65371	
44	16.8302	4.60386	
45	17.2302	4.52452	
46	17.6302	4.42894	
47	18.0302	4.33665	
48	18.4302	4.2689	
49	18.8302	4.24323	
50	19.2302	4.26857	
51	19.6302	4.34224	
52	20.0302	4.44979	
53	20.4302	4.568	
54	20.8302	4.67039	
55	21.2302	4.73399	
56	21.6302	4.74569	
57	22.0302	4.7064	
58	22.4302	4.63178	
59	22.8302	4.54912	
60	23.2302	4.49097	
61	23.6302	4.48696	
62	24.0302	4.55582	
63	24.4302	4.69979	
64	24.8302	4.90299	
65	25.2302	5.13443	
66	25.6302	5.35502	
67	26.0302	5.52722	
68	26.4302	5.62466	
69	26.8302	5.63946	
70	27.2302	5.58509	
71	27.6302	5.4938	
72	28.0302	5.40912	
73	28.4302	5.37502	
74	28.8302	5.42446	
75	29.2302	5.57021	
76	29.6302	5.80052	
77	30.0302	6.08083	
78	30.4302	6.3615	
79	30.8302	6.58971	
80	31.2302	6.72265	
81	31.6302	6.73876	
82	32.0302	6.64388	
83	32.4302	6.47068	
84	32.8302	6.27118	
85	33.2302	6.10405	
86	33.6302	6.01979	
87	34.0302	6.04747	
88	34.4302	6.18647	
89	34.8302	6.40563	
90	35.2302	6.6501	
91	35.6302	6.85448	
92	36.0302	6.95909	
93	36.4302	6.9253	
94	36.8302	6.74592	
95	37.2302	6.44798	
96	37.6302	6.08687	
97	38.0292	5.73383	
98	38.4292	5.45546	
99	38.8292	5.30148	
100	39.2292	5.28864	
101	39.6292	5.39665	
102	40.0292	5.57266	
103	40.4247	5.74236	
104	40.8176	5.83532	
105	41.2176	5.79592	
106	41.6176	5.59554	
107	42.0176	5.24739	
108	42.4176	4.80157	
109	42.8117	4.33999	
110	43.1983	3.94207	
111	43.5976	3.65518	
112	43.9976	3.53309	
113	44.3976	3.57611	
114	44.7976	3.74329	
115	45.1933	3.96078	
116	45.5765	4.14342	
117	45.9656	4.23059	
118	46.3656	4.16859	
119	46.7656	3.94202	
120	47.1656	3.58278	
121	47.5656	3.15853	
122	47.9481	2.77213	
123	48.33	2.48079	
